release_date,movie,production_budget,domestic_gross,domestic_profit,domestic_ROI,Year
5/20/2011,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,-169536125,-41.28985022,2011
6/7/2019,Dark Phoenix,350000000,42762350,-307237650,-87.78218571,2019
5/1/2015,Avengers: Age of Ultron,330600000,459005868,128405868,38.84025045,2015
12/15/2017,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,303181382,95.64081451,2017
12/18/2015,Star Wars Ep. VII: The Force Awakens,306000000,936662225,630662225,206.0987663,2015
4/27/2018,Avengers: Infinity War,300000000,678815482,378815482,126.2718273,2018
11/17/2017,Justice League,300000000,229024295,-70975705,-23.65856833,2017
11/6/2015,Spectre,300000000,200074175,-99925825,-33.30860833,2015
3/9/2012,John Carter,275000000,73058679,-201941321,-73.43320764,2012
5/25/2018,Solo: A Star Wars Story,275000000,213767512,-61232488,-22.26635927,2018
7/20/2012,The Dark Knight Rises,275000000,448139099,173139099,62.95967236,2012
7/2/2013,The Lone Ranger,275000000,89302115,-185697885,-67.52650364,2013
11/24/2010,Tangled,260000000,200821936,-59178064,-22.76079385,2010
3/25/2016,Batman v Superman: Dawn of Justice,250000000,330360194,80360194,32.1440776,2016
5/6/2016,Captain America: Civil War,250000000,408084349,158084349,63.2337396,2016
4/14/2017,The Fate of the Furious,250000000,225764765,-24235235,-9.694094,2017
12/14/2012,The Hobbit: An Unexpected Journey,250000000,303003568,53003568,21.2014272,2012
12/17/2014,The Hobbit: The Battle of the Five Armies,250000000,255119788,5119788,2.0479152,2014
12/13/2013,The Hobbit: The Desolation of Smaug,250000000,258366855,8366855,3.346742,2013
5/26/2017,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,-57441124,-24.97440174,2017
6/14/2013,Man of Steel,225000000,291045518,66045518,29.35356356,2013
5/4/2012,The Avengers,225000000,623279547,398279547,177.013132,2012
5/18/2012,Battleship,220000000,65233400,-154766600,-70.34845455,2012
7/3/2012,The Amazing Spider-Man,220000000,262030663,42030663,19.10484682,2012
6/21/2017,Transformers: The Last Knight,217000000,130168683,-86831317,-40.0144318,2017
6/12/2015,Jurassic World,215000000,652270625,437270625,203.381686,2015
5/25/2012,Men in Black 3,215000000,179020854,-35979146,-16.73448651,2012
5/14/2010,Robin Hood,210000000,105487148,-104512852,-49.76802476,2010
6/27/2014,Transformers: Age of Extinction,210000000,245439076,35439076,16.87575048,2014
3/5/2010,Alice in Wonderland,200000000,334191110,134191110,67.095555,2010
2/16/2018,Black Panther,200000000,700059566,500059566,250.029783,2018
6/24/2011,Cars 2,200000000,191450875,-8549125,-4.2745625,2011
11/16/2018,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,-40444099,-20.2220495,2018
6/17/2016,Finding Dory,200000000,486295561,286295561,143.1477805,2016
6/17/2011,Green Lantern,200000000,116601172,-83398828,-41.699414,2011
5/5/2017,Guardians of the Galaxy Vol 2,200000000,389813101,189813101,94.9065505,2017
6/15/2018,Incredibles 2,200000000,608581744,408581744,204.290872,2018
5/3/2013,Iron Man 3,200000000,408992272,208992272,104.496136,2013
6/21/2013,Monsters University,200000000,268488329,68488329,34.2441645,2013
3/8/2013,Oz the Great and Powerful,200000000,234770996,34770996,17.385498,2013
5/28/2010,Prince of Persia: Sands of Time,200000000,90759676,-109240324,-54.620162,2010
12/16/2016,Rogue One: A Star Wars Story,200000000,532177324,332177324,166.088662,2016
11/8/2012,Skyfall,200000000,304360277,104360277,52.1801385,2012
5/2/2014,The Amazing Spider-Man 2,200000000,202853933,2853933,1.4269665,2014
