Title,Type,Netflix Release Date,Days in Top Ten,Viewership Score
Cocomelon,TV Show,1-Jun-20,220,730
The Queen's Gambit,TV Show,23-Oct-20,73,446
Bridgerton,TV Show,25-Dec-20,58,432
Cobra Kai,TV Show,28-Aug-20,53,370
Ginny & Georgia,TV Show,24-Feb-21,44,335
Who Killed Sara?,TV Show,24-Mar-21,40,283
iCarly,TV Show,8-Feb-21,42,244
The Mitchells vs. The Machines,Movie,30-Apr-21,31,204
Firefly Lane,TV Show,3-Feb-21,27,182
Lucifer,TV Show,15-Dec-18,23,166
Shadow and Bone,TV Show,23-Apr-21,21,161
Behind Her Eyes,TV Show,17-Feb-21,26,154
The Circle US,TV Show,1-Jan-20,25,154
Selena: The Series,TV Show,4-Dec-20,21,149
Jurassic World: Camp Cretaceous,TV Show,18-Sep-20,24,147
We Can Be Heroes,Movie,25-Dec-20,24,144
Jupiter's Legacy,TV Show,7-May-21,20,139
Yes Day,Movie,12-Mar-21,15,126
Night Stalker: The Hunt for a Serial Killer,TV Show,13-Jan-21,16,124
Good Girls,TV Show,1-Jan-19,22,118
Crime Scene: The Vanishing at the Cecil Hotel,TV Show,10-Feb-21,16,115
The Baker and the Beauty,TV Show,13-Apr-21,16,115
Thunder Force,Movie,9-Apr-21,16,112
The Upshaws,TV Show,12-May-21,16,107
Fate: The Winx Saga,TV Show,22-Jan-21,14,106
I Care a Lot.,Movie,19-Feb-21,15,103
The Woman in the Window,Movie,14-May-21,11,100
The Serpent,TV Show,2-Apr-21,25,99
Army of the Dead,Movie,21-May-21,10,89
Lupin,TV Show,8-Jan-21,14,87
StartUp,TV Show,4-May-21,19,84
Deadly Illusions,Movie,18-Mar-21,10,82
The Midnight Sky,Movie,23-Dec-20,10,82
Bad Trip,Movie,26-Mar-21,9,78
The Sinner,TV Show,2-Jul-18,13,77
Bigfoot Family,Movie,26-Feb-21,10,75
Henry Danger,TV Show,15-Jan-21,22,75
Homefront,Movie,18-Jan-21,12,74
Jenni Rivera: Mariposa de Barrio,TV Show,1-Jan-21,21,73
Murder Among the Mormons,TV Show,3-Mar-21,10,72
Dad Stop Embarrassing Me!,TV Show,14-Apr-21,9,70
Stowaway,Movie,22-Apr-21,9,70
Outside the Wire,Movie,15-Jan-21,9,69
L.A.'s Finest,TV Show,5-Jan-21,13,67
Operation Varsity Blues,Movie,17-Mar-21,11,67
The One,TV Show,12-Mar-21,13,67
Synchronic,Movie,16-Apr-21,9,64
What Lies Below,Movie,4-Apr-21,8,61
Concrete Cowboy,Movie,2-Apr-21,10,60
Savages,Movie,16-Mar-21,10,60
The Next Three Days,Movie,22-Jan-21,9,60
The Sons of Sam: A Descent Into Darkness,TV Show,5-May-21,8,60
This is a Robbery: The World's Biggest Art Heist,TV Show,7-Apr-21,9,59
Finding 'Ohana,Movie,29-Jan-21,9,57
Madagascar 3: Europe's Most Wanted,Movie,1-May-21,12,56
Last Chance U: Basketball,TV Show,10-Mar-21,8,55
The Irregulars,TV Show,26-Mar-21,8,55
Below Zero,Movie,29-Jan-21,6,54
Chilling Adventures of Sabrina,TV Show,26-Oct-18,9,54
Life in Color with David Attenborough,TV Show,22-Apr-21,9,54
The Dig,Movie,29-Jan-21,9,54
Home,Movie,25-May-21,6,53
"Go, Dog, Go",TV Show,26-Jan-21,15,52
"Nicky, Ricky, Dicky & Dawn",TV Show,12-Apr-21,18,51
Death to 2020,Concert/Performance,27-Dec-20,8,50
Why Did You Kill Me?,Movie,14-Apr-21,8,50
Nailed It!,TV Show,9-Mar-18,15,47
To All the Boys Always and Forever,Movie,12-Feb-21,7,47
History of Swear Words,TV Show,5-Jan-21,8,46
Secret Magic Control Agency,Movie,25-Mar-21,8,44
War Dogs,Movie,8-Feb-21,8,44
Things Heard & Seen,Movie,29-Apr-21,7,43
Friends with Benefits,Movie,1-Apr-21,7,38
Unknown,Movie,1-Jan-21,7,38
The Lost Pirate Kingdom,TV Show,15-Mar-21,6,37
Age of Samurai: Battle for Japan,TV Show,24-Feb-21,7,36
Parker,Movie,4-Mar-21,7,36
The Crew,TV Show,15-Feb-21,9,35
17 Again,Movie,1-Jan-21,7,33
Moxie,Movie,3-Mar-21,7,33
Surviving Death,TV Show,6-Jan-21,8,32
The Little Rascals,Movie,2-Apr-21,7,31
All About the Benjamins,Movie,1-Feb-21,6,30
Sentinelle,Movie,5-Mar-21,4,30
Training Day,Movie,1-Mar-21,7,30
Bling Empire,TV Show,15-Jan-21,8,29
Love Happens,Movie,1-May-21,6,29
Malcolm & Marie,Movie,5-Feb-21,4,28
Biggie: I Got A Story to Tell,Movie,1-Mar-21,4,27
Blue Miracle,Movie,27-May-21,4,27
Green Zone,Movie,1-May-21,6,27
Dog Gone Trouble,Movie,28-May-21,3,26
Sabotage,Movie,19-May-21,7,26
Cut Throat City,Movie,20-Jan-21,4,25
Marriage or Mortgage,TV Show,10-Mar-21,6,25
"Love, Death & Robots",TV Show,15-Mar-19,6,24
Pieces of a Woman,Movie,7-Jan-21,4,24
Seaspiracy,Movie,24-Mar-21,8,24
The Vanished,Movie,15-Jan-21,12,24
Country Comfort,TV Show,19-Mar-21,6,23
Gabby's Dollhouse,TV Show,4-Jan-21,9,23
Dead Man Down,Movie,6-Nov-13,6,22
Family Reunion,TV Show,10-Jul-19,5,22
Ragnarok,TV Show,31-Jan-20,4,22
Sniper: Ghost Shooter,Movie,1-Apr-21,9,21
The Dark Knight,Movie,1-Mar-21,8,21
Big Time Rush,TV Show,26-Mar-21,5,19
I Am All Girls,Movie,14-May-21,6,19
Halston,TV Show,14-May-21,5,18
The Innocent,TV Show,30-Apr-21,8,18
Jungle Beat: The Movie,Movie,14-May-21,6,17
30 Minutes or Less,Movie,1-Jan-21,5,16
Disenchantment,TV Show,17-Aug-18,5,16
Jiu Jitsu,Movie,20-Mar-21,4,16
Monster,Movie,7-May-21,5,16
Red Dot,Movie,11-Feb-21,5,16
Tribes of Europa,TV Show,19-Feb-21,5,14
Legally Blonde,Movie,1-Apr-21,6,13
Saving Private Ryan,Movie,1-Apr-21,4,13
The Conjuring 2,Movie,21-Feb-21,4,13
