title,name,release_date,popularity,vote_average,vote_count
Harry Potter and the Deathly Hallows: Part 1,Adventure,2010-11-19,33.533,7.7,10788
Harry Potter and the Deathly Hallows: Part 1,Fantasy,2010-11-19,33.533,7.7,10788
Harry Potter and the Deathly Hallows: Part 1,Family,2010-11-19,33.533,7.7,10788
How to Train Your Dragon,Fantasy,2010-03-26,28.734,7.7,7610
How to Train Your Dragon,Adventure,2010-03-26,28.734,7.7,7610
How to Train Your Dragon,Animation,2010-03-26,28.734,7.7,7610
How to Train Your Dragon,Family,2010-03-26,28.734,7.7,7610
Iron Man 2,Adventure,2010-05-07,28.515,6.8,12368
Iron Man 2,Action,2010-05-07,28.515,6.8,12368
Iron Man 2,Science Fiction,2010-05-07,28.515,6.8,12368
Toy Story,Animation,1995-11-22,28.005,7.9,10174
Toy Story,Comedy,1995-11-22,28.005,7.9,10174
Toy Story,Family,1995-11-22,28.005,7.9,10174
Inception,Action,2010-07-16,27.92,8.3,22186
Inception,Science Fiction,2010-07-16,27.92,8.3,22186
Inception,Adventure,2010-07-16,27.92,8.3,22186
Percy Jackson & the Olympians: The Lightning Thief,Adventure,2010-02-11,26.691,6.1,4229
Percy Jackson & the Olympians: The Lightning Thief,Fantasy,2010-02-11,26.691,6.1,4229
Percy Jackson & the Olympians: The Lightning Thief,Family,2010-02-11,26.691,6.1,4229
Avatar,Action,2009-12-18,26.526,7.4,18676
Avatar,Adventure,2009-12-18,26.526,7.4,18676
Avatar,Fantasy,2009-12-18,26.526,7.4,18676
Avatar,Science Fiction,2009-12-18,26.526,7.4,18676
Toy Story 3,Animation,2010-06-17,24.445,7.7,8340
Toy Story 3,Family,2010-06-17,24.445,7.7,8340
Toy Story 3,Comedy,2010-06-17,24.445,7.7,8340
Despicable Me,Animation,2010-07-09,23.673,7.2,10057
Despicable Me,Family,2010-07-09,23.673,7.2,10057
Despicable Me,Comedy,2010-07-09,23.673,7.2,10057
Megamind,Animation,2010-11-04,22.855,6.8,3635
Megamind,Action,2010-11-04,22.855,6.8,3635
Megamind,Comedy,2010-11-04,22.855,6.8,3635
Megamind,Family,2010-11-04,22.855,6.8,3635
Megamind,Science Fiction,2010-11-04,22.855,6.8,3635
Toy Story 2,Animation,1999-11-24,22.698,7.5,7553
Toy Story 2,Comedy,1999-11-24,22.698,7.5,7553
Toy Story 2,Family,1999-11-24,22.698,7.5,7553
Alice in Wonderland,Family,2010-03-05,22.02,6.6,8713
Alice in Wonderland,Fantasy,2010-03-05,22.02,6.6,8713
Alice in Wonderland,Adventure,2010-03-05,22.02,6.6,8713
The Expendables,Thriller,2010-08-03,21.517,6.1,4647
The Expendables,Adventure,2010-08-03,21.517,6.1,4647
The Expendables,Action,2010-08-03,21.517,6.1,4647
Tangled,Animation,2010-11-24,21.511,7.5,6407
Tangled,Family,2010-11-24,21.511,7.5,6407
Saw: The Final Chapter,Horror,2010-10-28,20.37,6.0,1488
Saw: The Final Chapter,Crime,2010-10-28,20.37,6.0,1488
The Twilight Saga: Eclipse,Adventure,2010-06-23,20.34,6.0,4909
The Twilight Saga: Eclipse,Fantasy,2010-06-23,20.34,6.0,4909
The Twilight Saga: Eclipse,Drama,2010-06-23,20.34,6.0,4909
The Twilight Saga: Eclipse,Romance,2010-06-23,20.34,6.0,4909
The Book of Eli,Action,2010-01-11,18.985,6.7,3495
The Book of Eli,Thriller,2010-01-11,18.985,6.7,3495
The Book of Eli,Science Fiction,2010-01-11,18.985,6.7,3495
LelleBelle,Music,2010-10-09,18.586,4.5,36
