genre_ids,id,original_language,overview,popularity,vote_average,vote_count,release_date,title
"[16, 12, 35, 10751, 878]",501929,en,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",117.264,8.0,898,2021-04-22,The Mitchells vs. the Machines
"[28, 14, 10751, 35]",615677,en,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.",236.653,6.3,484,2020-12-25,We Can Be Heroes
"[35, 10751]",638597,en,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,155.542,7.0,578,2021-03-12,Yes Day
"[28, 12, 35]",615678,en,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",622.463,5.8,628,2021-04-09,Thunder Force
"[35, 80, 53]",601666,en,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,114.29,6.7,1458,2021-02-19,I Care a Lot
"[80, 9648, 53]",520663,en,An agoraphobic woman living alone in New York begins spying on her new neighbors only to witness a disturbing act of violence.,179.725,6.2,845,2021-05-14,The Woman in the Window
"[28, 27, 53, 80]",503736,en,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",2488.045,6.6,1430,2021-05-14,Army of the Dead
"[18, 53]",802443,en,"A bestselling female novelist, suffering from writer's block, hires an innocent young woman to watch over her twin children. As the novelist dangerously indulges in her new best seller, the line between the life she's writing and the one she's living becomes blurred.",44.376,5.0,186,2021-03-18,Deadly Illusions
"[878, 18]",614911,en,A lone scientist in the Arctic races to contact a crew of astronauts returning home to a mysterious global catastrophe.,19.593,5.9,1269,2020-12-10,The Midnight Sky
[35],578908,en,Two pals embark on a road trip full of funny pranks that pull real people into mayhem.,363.632,6.0,223,2021-03-26,Bad Trip
"[16, 12, 10751]",702525,en,"Bigfoot, Adam's father, wants to use his fame for a good cause. Protecting a large wildlife reserve in Alaska sounds like the perfect opportunity! When Bigfoot mysteriously disappears without a trace, Adam and his animal friends will brave anything to find him again and save the nature reserve.",11.501,7.2,91,2020-07-23,Bigfoot Family
"[28, 53]",204082,en,"Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughter, Maddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.",36.001,6.9,2552,2013-11-12,Homefront
"[18, 878, 53]",559581,en,A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.,135.837,6.1,576,2021-04-22,Stowaway
"[53, 28, 878]",775996,en,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",463.232,6.5,1118,2021-01-15,Outside the Wire
"[99, 80, 18]",799555,en,"An examination that goes beyond the celebrity-driven headlines and dives into the methods used by Rick Singer, the man at the center of the shocking 2019 college admissions scandal, to persuade his wealthy clients to cheat an educational system already designed to benefit the privileged.",16.887,7.2,68,2021-03-17,Operation Varsity Blues: The College Admissions Scandal
"[878, 18, 53, 27]",549294,en,"Two New Orleans paramedics' lives are ripped apart after encountering a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",17.374,6.4,263,2020-10-23,Synchronic
"[27, 53, 9648, 878]",716703,en,"Liberty, a socially awkward 16-year-old, returns from two months at camp to a blindsided introduction of her mother’s fiancé, John Smith, whose charm, intelligence, and beauty paint the picture of a man too perfect to be human.",81.703,5.6,62,2020-12-17,What Lies Below
"[18, 37]",621954,en,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",34.491,6.2,83,2020-09-10,Concrete Cowboy
"[80, 18, 53]",82525,en,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,10.815,6.4,1700,2012-07-06,Savages
"[10749, 18, 53, 80]",43539,en,"A married couple's life is turned upside down when the wife is accused of murdering her boss. Her husband John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. When the strain of being separated from her husband and son gets to her, John decides to find a way to break her out.",16.857,7.1,2121,2010-11-18,The Next Three Days
"[28, 12, 35, 10751]",644092,en,"Two Brooklyn siblings' summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage.",183.139,6.5,241,2021-01-29,Finding 'Ohana
"[16, 10751, 35, 12]",80321,en,"Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus.",61.492,6.6,4692,2012-06-06,Madagascar 3: Europe's Most Wanted
"[18, 36]",532865,en,"As WWII looms, a wealthy widow hires an amateur archaeologist to excavate the burial mounds on her estate. When they make a historic discovery, the echoes of Britain's past resonate in the face of its uncertain future‎.",45.085,6.9,603,2021-01-14,The Dig
"[28, 12, 878]",429617,en,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",252.284,7.5,9949,2019-06-28,Spider-Man: Far From Home
[35],773655,en,"2020: A year so [insert adjective of choice here], even the creators of Black Mirror couldn't make it up… but that doesn't mean they don't have a little something to add. This comedy event that tells the story of the dreadful year that was — and perhaps still is? The documentary-style special weaves together some of the world's most (fictitious) renowned voices with real-life archival footage.",10.884,6.6,434,2020-12-27,Death to 2020
"[99, 80]",810731,en,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.,39.639,6.6,70,2021-04-14,Why Did You Kill Me?
"[10749, 35, 18]",614409,en,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,90.065,7.9,1261,2021-02-12,To All the Boys: Always and Forever
"[16, 35, 14]",797394,ru,"The Secret Magic Control Agency sends its two best agents, Hansel and Gretel, to fight against the witch of the Gingerbread House.",217.173,7.1,149,2021-03-18,Secret Magic Control Agency
"[35, 80, 18]",308266,en,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",20.235,6.8,3439,2016-08-17,War Dogs
"[27, 9648, 18, 53]",631060,en,"Catherine Clare reluctantly trades life in 1980 Manhattan for a remote home in the tiny hamlet of Chosen, New York, after her husband George lands a job teaching art history at a small Hudson Valley college. Even as she does her best to transform the old dairy farm into a place where young daughter Franny will be happy, Catherine increasingly finds herself isolated and alone. She soon comes to sense a sinister darkness lurking both in the walls of the ramshackle property—and in her marriage to George.",30.817,5.8,411,2021-04-29,Things Heard & Seen
"[10749, 35]",50544,en,"Dylan and Jamie think it's going to be easy to add the simple act of sex to their friendship, despite what Hollywood romantic comedies would have them believe. They soon discover however that getting physical really does always lead to complications.",27.438,6.7,6320,2011-07-21,Friends with Benefits
"[28, 9648, 53]",48138,en,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",21.929,6.6,2903,2011-02-16,Unknown
"[28, 80]",119283,en,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",22.426,6.0,2393,2013-01-23,Parker
