release_date,movie,production_budget,worldwide_gross,worldwide_profit,worldwide_ROI,Year
2018-04-27,Avengers: Infinity War,300000000.0,2048134200.0,1748134200.0,582.7114,2018
2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000.0,2053311220.0,1747311220.0,571.0167385620915,2015
2015-06-12,Jurassic World,215000000.0,1648854864.0,1433854864.0,666.9092390697674,2015
2015-04-03,Furious 7,190000000.0,1518722794.0,1328722794.0,699.3277863157895,2015
2012-05-04,The Avengers,225000000.0,1517935897.0,1292935897.0,574.6381764444444,2012
2011-07-15,Harry Potter and the Deathly Hallows: Part II,125000000.0,1341693157.0,1216693157.0,973.3545256,2011
2018-02-16,Black Panther,200000000.0,1348258224.0,1148258224.0,574.129112,2018
2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,1305772799.0,1135772799.0,668.1016464705882,2018
2013-11-22,Frozen,150000000.0,1272469910.0,1122469910.0,748.3132733333333,2013
2017-03-17,Beauty and the Beast,160000000.0,1259199706.0,1099199706.0,686.99981625,2017
2015-07-10,Minions,74000000.0,1160336173.0,1086336173.0,1468.0218554054054,2015
2015-05-01,Avengers: Age of Ultron,330600000.0,1403013963.0,1072413963.0,324.38413883847545,2015
2018-06-15,Incredibles 2,200000000.0,1242520711.0,1042520711.0,521.2603555000001,2018
2013-05-03,Iron Man 3,200000000.0,1215392272.0,1015392272.0,507.696136,2013
2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000.0,1316721747.0,999721747.0,315.3696362776025,2017
2018-12-21,Aquaman,160000000.0,1146894640.0,986894640.0,616.80915,2018
2017-04-14,The Fate of the Furious,250000000.0,1234846267.0,984846267.0,393.9385068,2017
2017-06-30,Despicable Me 3,75000000.0,1034727750.0,959727750.0,1279.637,2017
2019-03-08,Captain Marvel,175000000.0,1123061550.0,948061550.0,541.7494571428572,2019
2011-06-29,Transformers: Dark of the Moon,195000000.0,1123790543.0,928790543.0,476.3028425641026,2011
2012-11-08,Skyfall,200000000.0,1110526981.0,910526981.0,455.2634905,2012
2013-07-03,Despicable Me 2,76000000.0,975216835.0,899216835.0,1183.1800460526315,2013
2014-06-27,Transformers: Age of Extinction,210000000.0,1104039076.0,894039076.0,425.7328933333333,2014
2016-05-06,Captain America: Civil War,250000000.0,1140069413.0,890069413.0,356.0277652,2016
2017-12-20,Jumanji: Welcome to the Jungle,90000000.0,964496193.0,874496193.0,971.6624366666666,2017
2016-03-04,Zootopia,150000000.0,1019429616.0,869429616.0,579.6197440000001,2016
2010-06-18,Toy Story 3,200000000.0,1068879522.0,868879522.0,434.439761,2010
2016-12-16,Rogue One: A Star Wars Story,200000000.0,1049102856.0,849102856.0,424.551428,2016
2018-11-02,Bohemian Rhapsody,55000000.0,894985342.0,839985342.0,1527.2460763636363,2018
2010-11-19,Harry Potter and the Deathly Hallows: Part I,125000000.0,960431568.0,835431568.0,668.3452543999999,2010
2010-03-05,Alice in Wonderland,200000000.0,1025491110.0,825491110.0,412.74555499999997,2010
2016-06-17,Finding Dory,200000000.0,1021215193.0,821215193.0,410.60759649999994,2016
2016-07-08,The Secret Life of Pets,75000000.0,886750534.0,811750534.0,1082.3340453333333,2016
2012-07-20,The Dark Knight Rises,275000000.0,1084439099.0,809439099.0,294.3414905454545,2012
2016-04-15,The Jungle Book,175000000.0,962854547.0,787854547.0,450.2025982857143,2016
2012-07-13,Ice Age: Continental Drift,95000000.0,879765137.0,784765137.0,826.068565263158,2012
2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,1017003568.0,767003568.0,306.80142720000003,2012
2016-02-12,Deadpool,58000000.0,801025593.0,743025593.0,1281.0786086206897,2016
2018-10-05,Venom,116000000.0,853628605.0,737628605.0,635.8867284482758,2018
2013-11-22,The Hunger Games: Catching Fire,130000000.0,864868047.0,734868047.0,565.2831130769231,2013
