id,release_date,movie,production_budget,domestic_gross,worldwide_gross
1,18-Dec-09,Avatar,425000000.00 ,760507625.00,2776345279.00
2,20-May-11,Pirates of the Caribbean: On Stranger Tides,410600000.00 ,241063875.00,1045663875.00
3,7-Jun-19,Dark Phoenix,350000000.00 ,42762350.00,149762350.00
4,1-May-15,Avengers: Age of Ultron,330600000.00 ,459005868.00,1403013963.00
5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,317000000.00 ,620181382.00,1316721747.00
6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,306000000.00 ,936662225.00,2053311220.00
7,27-Apr-18,Avengers: Infinity War,300000000.00 ,678815482.00,2048134200.00
8,24-May-07,Pirates of the Caribbean: At Worldâs End,300000000.00 ,309420425.00,963420425.00
9,17-Nov-17,Justice League,300000000.00 ,229024295.00,655945209.00
10,6-Nov-15,Spectre,300000000.00 ,200074175.00,879620923.00
11,20-Jul-12,The Dark Knight Rises,275000000.00 ,448139099.00,1084439099.00
12,25-May-18,Solo: A Star Wars Story,275000000.00 ,213767512.00,393151347.00
13,2-Jul-13,The Lone Ranger,275000000.00 ,89302115.00,260002115.00
14,9-Mar-12,John Carter,275000000.00 ,73058679.00,282778100.00
15,24-Nov-10,Tangled,260000000.00 ,200821936.00,586477240.00
16,4-May-07,Spider-Man 3,258000000.00 ,336530303.00,894860230.00
17,6-May-16,Captain America: Civil War,250000000.00 ,408084349.00,1140069413.00
18,25-Mar-16,Batman v Superman: Dawn of Justice,250000000.00 ,330360194.00,867500281.00
19,14-Dec-12,The Hobbit: An Unexpected Journey,250000000.00 ,303003568.00,1017003568.00
20,15-Jul-09,Harry Potter and the Half-Blood Prince,250000000.00 ,302089278.00,935213767.00
21,13-Dec-13,The Hobbit: The Desolation of Smaug,250000000.00 ,258366855.00,960366855.00
22,17-Dec-14,The Hobbit: The Battle of the Five Armies,250000000.00 ,255119788.00,945577621.00
23,14-Apr-17,The Fate of the Furious,250000000.00 ,225764765.00,1234846267.00
24,28-Jun-06,Superman Returns,232000000.00 ,200120000.00,374085065.00
25,26-May-17,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.00 ,172558876.00,788241137.00
26,14-Nov-08,Quantum of Solace,230000000.00 ,169368427.00,591692078.00
27,4-May-12,The Avengers,225000000.00 ,623279547.00,1517935897.00
